~;↷;↶;0 °;2 °;4 °;6 °;8 °;10 °;12 °;14 °;16 °;18 °;20 °;22 °;24 °;26 °;28 °;30 °;32 °;34 °;36 °;38 °;40 °;42 °;44 °;46 °;48 °;50 °;52 °;54 °;56 °;58 °;60 °;62 °;64 °;66 °;68 °;70 °;72 °;74 °;76 °;78 °;80 °;82 °;84 °;86 °;88 °;90 °;↷;↶;
3.2;0;50;1 1°;1 -1°;1 -3°;1 -5°;1 -7°;1 -9°;1 -11°;1 -13°;1 -15°;1 -17°;1 -19°;1 -21°;1 -23°;1 -25°;1 -27°;1 -29°;1 -31°;1 -33°;3 -31°;6 -25°;9 -19°;12 -10°;14 -4°;16 4°;17 9°;18 15°;19 22°;19 26°;19 30°;19 34°;19 40°;19 46°;18 48°;18 55°;17 58°;16 62°;15 65°;14 69°;12 70°;11 75°;9 76°;8 81°;6 83°;4 85°;2 86°;1 90°;0;50
3.9;1;49;2 1°;2 -1°;2 -3°;2 -5°;2 -7°;2 -9°;2 -11°;2 -13°;2 -15°;2 -17°;2 -19°;2 -21°;2 -23°;2 -25°;2 -27°;2 -29°;2 -31°;2 -33°;6 -26°;9 -20°;12 -12°;15 -3°;17 4°;18 8°;19 14°;20 20°;21 27°;21 30°;21 34°;21 39°;21 44°;20 46°;20 52°;19 55°;18 58°;17 62°;16 65°;15 69°;13 70°;12 75°;10 76°;9 81°;7 83°;5 85°;3 86°;2 90°;1;49
4.6;2;48;3 1°;3 -1°;3 -3°;3 -5°;3 -7°;3 -9°;3 -11°;3 -13°;3 -15°;3 -17°;3 -19°;3 -21°;3 -23°;3 -25°;3 -27°;3 -29°;3 -31°;5 -29°;9 -21°;12 -14°;15 -6°;17 1°;19 8°;20 12°;21 18°;22 24°;23 31°;23 34°;23 38°;23 43°;22 44°;22 50°;21 52°;20 55°;19 58°;18 62°;17 65°;16 69°;14 70°;13 75°;11 76°;10 81°;8 83°;6 85°;4 86°;3 90°;2;48
5.2;3;47;4 1°;4 -1°;4 -3°;4 -5°;4 -7°;4 -9°;4 -11°;4 -13°;4 -15°;4 -17°;4 -19°;4 -21°;4 -23°;4 -25°;4 -27°;4 -29°;4 -31°;9 -22°;12 -15°;15 -8°;18 1°;20 8°;21 12°;23 20°;24 25°;24 28°;24 31°;25 38°;24 38°;24 43°;24 48°;23 50°;22 52°;21 55°;20 58°;19 62°;18 65°;17 69°;16 74°;14 75°;13 79°;11 81°;9 83°;7 85°;5 86°;4 90°;3;47
5.8;4;46;5 1°;5 -1°;5 -3°;5 -5°;5 -7°;5 -9°;5 -11°;5 -13°;5 -15°;5 -17°;5 -19°;5 -21°;5 -23°;5 -25°;5 -27°;5 -29°;8 -25°;12 -17°;16 -7°;18 -2°;21 8°;22 11°;24 19°;25 24°;26 29°;26 31°;26 34°;26 38°;26 42°;26 46°;25 48°;25 53°;24 56°;23 58°;22 62°;21 65°;19 65°;18 69°;17 74°;15 75°;14 79°;12 81°;10 83°;8 85°;6 86°;5 90°;4;46
6.4;5;45;6 1°;6 -1°;6 -3°;6 -5°;6 -7°;6 -9°;6 -11°;6 -13°;6 -15°;6 -17°;6 -19°;6 -21°;6 -23°;6 -25°;6 -27°;7 -27°;12 -17°;16 -8°;19 -1°;21 5°;23 11°;25 18°;26 22°;27 27°;28 32°;28 35°;28 38°;28 41°;28 45°;27 46°;27 51°;26 53°;25 56°;24 58°;23 62°;22 65°;21 69°;19 69°;18 74°;16 75°;15 79°;13 81°;11 83°;9 85°;7 86°;6 90°;5;45
6.9;6;44;7 1°;7 -1°;7 -3°;7 -5°;7 -7°;7 -9°;7 -11°;7 -13°;7 -15°;7 -17°;7 -19°;7 -21°;7 -23°;7 -25°;7 -27°;11 -20°;16 -9°;19 -3°;22 5°;24 11°;26 17°;28 24°;29 28°;29 30°;30 35°;30 38°;30 41°;30 44°;29 45°;29 50°;28 51°;27 53°;26 56°;25 58°;24 62°;23 65°;22 69°;20 69°;19 74°;17 75°;16 79°;14 81°;12 83°;10 85°;8 86°;7 90°;6;44
7.5;7;43;8 1°;8 -1°;8 -3°;8 -5°;8 -7°;8 -9°;8 -11°;8 -13°;8 -15°;8 -17°;8 -19°;8 -21°;8 -23°;8 -25°;11 -21°;16 -10°;19 -4°;23 6°;25 11°;27 17°;29 23°;30 27°;31 31°;32 36°;32 38°;32 41°;32 44°;32 47°;31 48°;30 50°;30 54°;29 56°;28 59°;27 61°;26 64°;24 65°;23 69°;21 69°;20 74°;18 75°;17 79°;15 81°;13 83°;11 85°;9 86°;8 90°;7;43
8.0;8;42;9 1°;9 -1°;9 -3°;9 -5°;9 -7°;9 -9°;9 -11°;9 -13°;9 -15°;9 -17°;9 -19°;9 -21°;9 -23°;10 -23°;15 -14°;20 -3°;23 4°;26 12°;29 20°;30 23°;32 29°;33 32°;34 37°;34 38°;34 41°;34 43°;34 46°;33 47°;33 51°;32 52°;31 54°;30 56°;29 59°;28 61°;27 64°;25 65°;24 69°;23 72°;21 74°;19 75°;18 79°;16 81°;14 83°;12 85°;10 86°;9 90°;8;42
8.4;9;41;10 1°;10 -1°;10 -3°;10 -5°;10 -7°;10 -9°;10 -11°;10 -13°;10 -15°;10 -17°;10 -19°;10 -21°;10 -23°;15 -14°;20 -4°;24 5°;27 12°;30 20°;32 25°;33 28°;35 34°;36 37°;36 39°;36 41°;36 43°;36 46°;36 49°;35 50°;34 51°;34 55°;33 57°;32 59°;31 61°;29 61°;28 64°;27 68°;25 69°;24 72°;22 74°;21 78°;19 79°;17 81°;15 83°;13 85°;11 86°;10 90°;9;41
