~;↷;↶;0 °;2 °;4 °;6 °;8 °;10 °;12 °;14 °;16 °;18 °;20 °;22 °;24 °;26 °;28 °;30 °;32 °;34 °;36 °;38 °;40 °;42 °;44 °;46 °;48 °;50 °;52 °;54 °;56 °;58 °;60 °;62 °;64 °;66 °;68 °;70 °;72 °;74 °;76 °;78 °;80 °;82 °;84 °;86 °;88 °;90 °;↷;↶;
10.0;0;50;1 1°;1 -1°;1 -3°;1 -5°;1 -7°;1 -9°;1 -11°;1 -13°;1 -15°;1 -17°;1 -19°;1 -21°;1 -23°;1 -25°;1 -27°;1 -29°;1 -31°;1 -33°;1 -35°;1 -37°;1 -39°;1 -41°;1 -43°;34 54°;34 56°;34 58°;33 59°;32 61°;32 64°;31 65°;30 67°;29 69°;27 70°;26 72°;24 73°;22 75°;20 76°;17 76°;15 78°;13 79°;11 81°;8 81°;6 83°;4 85°;2 86°;1 90°;0;50
10.9;1;49;2 1°;2 -1°;2 -3°;2 -5°;2 -7°;2 -9°;2 -11°;2 -13°;2 -15°;2 -17°;2 -19°;2 -21°;2 -23°;2 -25°;2 -27°;2 -29°;2 -31°;35 45°;35 46°;36 49°;36 50°;36 52°;36 53°;35 54°;35 56°;35 58°;34 59°;34 62°;33 64°;32 65°;31 67°;30 69°;28 70°;27 72°;25 73°;23 75°;21 76°;19 77°;17 79°;14 79°;12 81°;10 83°;7 83°;5 85°;3 86°;2 90°;1;49
11.5;2;48;3 1°;3 -1°;3 -3°;3 -5°;3 -7°;3 -9°;3 -11°;3 -13°;3 -15°;3 -17°;3 -19°;34 41°;35 42°;35 42°;35 42°;36 44°;36 45°;36 45°;36 46°;36 47°;37 50°;37 52°;36 52°;36 54°;36 56°;36 58°;35 59°;35 62°;34 64°;33 65°;32 67°;31 69°;30 71°;28 72°;26 73°;24 75°;22 76°;20 77°;18 79°;15 79°;13 81°;11 83°;9 85°;7 87°;4 86°;3 90°;2;48
11.9;3;47;4 1°;4 -1°;4 -3°;4 -5°;31 40°;32 40°;33 41°;33 40°;34 41°;34 40°;35 41°;35 41°;35 41°;36 42°;36 42°;36 43°;37 45°;37 45°;37 46°;37 47°;37 49°;37 50°;37 52°;37 54°;37 56°;36 57°;36 59°;35 61°;35 64°;34 65°;33 67°;32 69°;30 70°;29 72°;27 73°;26 76°;24 77°;21 77°;19 79°;17 81°;14 81°;12 83°;10 85°;8 87°;6 89°;4 90°;3;47
12.0;4;46;30 41°;30 40°;31 40°;31 39°;32 40°;33 40°;33 39°;34 40°;34 39°;35 40°;35 40°;36 41°;36 41°;36 41°;37 42°;37 43°;37 43°;38 45°;38 46°;38 47°;38 49°;38 50°;38 52°;38 54°;37 55°;37 57°;37 59°;36 61°;35 62°;35 65°;34 67°;33 69°;31 70°;30 72°;28 73°;27 76°;25 77°;23 79°;20 79°;18 81°;15 81°;13 83°;11 85°;9 87°;7 89°;5 90°;4;46
11.9;5;45;30 40°;31 40°;31 39°;32 39°;33 40°;33 39°;34 39°;34 39°;35 39°;35 39°;36 40°;36 40°;36 39°;37 41°;37 41°;38 43°;38 43°;38 44°;38 45°;38 46°;38 47°;38 49°;38 50°;38 52°;38 55°;38 57°;37 58°;37 61°;36 62°;35 64°;34 66°;33 68°;32 70°;31 72°;29 73°;28 76°;26 77°;24 79°;21 79°;19 81°;17 82°;14 83°;12 85°;10 87°;8 89°;6 90°;5;45
11.6;6;44;31 40°;31 39°;32 39°;32 38°;33 39°;33 38°;34 38°;34 37°;35 38°;35 37°;36 38°;36 38°;37 39°;37 39°;38 41°;38 41°;38 42°;38 42°;39 45°;39 46°;39 47°;39 49°;39 50°;39 52°;38 53°;38 55°;38 58°;37 59°;37 62°;36 64°;35 66°;34 68°;33 70°;32 72°;30 73°;28 75°;27 77°;25 79°;22 79°;20 81°;18 82°;15 83°;13 85°;11 87°;9 89°;7 90°;6;44
11.2;7;43;31 39°;31 38°;32 38°;33 38°;33 37°;34 38°;34 37°;35 37°;35 37°;36 37°;36 37°;37 38°;37 38°;37 38°;38 39°;38 40°;38 40°;39 42°;39 43°;39 44°;39 46°;39 47°;39 49°;39 51°;39 53°;39 55°;38 56°;38 59°;37 61°;36 62°;36 66°;35 68°;34 70°;32 71°;31 73°;29 75°;27 76°;25 77°;23 79°;21 81°;19 82°;16 83°;14 85°;12 87°;10 89°;8 90°;7;43
10.6;8;42;31 38°;32 38°;32 37°;33 37°;33 36°;34 36°;34 35°;35 36°;35 35°;36 36°;36 36°;37 37°;37 36°;38 38°;38 38°;38 38°;39 40°;39 41°;39 42°;39 43°;39 44°;39 45°;39 47°;39 49°;39 51°;39 54°;39 56°;38 58°;38 61°;37 62°;36 64°;35 66°;34 69°;33 71°;32 73°;30 75°;28 76°;26 77°;24 79°;22 81°;20 82°;17 83°;15 85°;13 87°;11 89°;9 90°;8;42
9.9;9;41;31 37°;32 37°;32 36°;33 36°;33 35°;34 35°;34 34°;35 35°;35 34°;36 35°;36 34°;37 35°;37 35°;38 36°;38 36°;38 36°;39 39°;39 39°;39 40°;39 41°;40 44°;40 45°;40 47°;40 49°;40 51°;39 52°;39 55°;39 58°;38 59°;37 61°;37 64°;36 66°;35 69°;34 71°;32 72°;31 75°;29 76°;27 77°;25 79°;23 81°;21 82°;18 83°;16 85°;14 87°;12 89°;10 90°;9;41
